,Rank,Earnings Yield,Return on Capital,Total
BKL.AX,106.0,0.05648747231941855,0.24237077503170448,197.0
GEM.AX,107.0,0.07148982836905228,0.18295133358132318,198.0
OSH.AX,108.0,0.10252375386304066,0.07175349502951386,198.0
EML.AX,109.0,0.018982352279084385,0.6009603484975992,199.0
QUB.AX,110.0,0.05820527248766458,0.2241274144357845,199.0
APX.AX,111.0,0.01740881708937179,0.573906865212114,202.0
WEB.AX,112.0,0.2640228283262239,-5.079136690647482,202.0
BXB.AX,113.0,0.07782563798231833,0.12967695462149015,203.0
SAR.AX,114.0,0.03629445559295037,0.30719888293195885,205.0
OZL.AX,115.0,0.09021472502013399,0.07515197329049735,209.0
AMC.AX,116.0,0.054103802422495115,0.20155923588826913,212.0
CSL.AX,117.0,0.03021104994336433,0.3329239228448805,212.0
ALQ.AX,118.0,0.059377412036784843,0.1737555720653789,213.0
FPH.AX,119.0,0.02135894069387385,0.36815391056992747,213.0
SYD.AX,120.0,0.03295647882760611,0.2571798281873405,218.0
LYC.AX,121.0,0.06580998382034088,0.11083265193428836,223.0
OML.AX,122.0,0.07814417006848245,0.08034106746290397,223.0
SGR.AX,123.0,0.07717999825956515,0.08822832780672667,223.0
ASX.AX,124.0,-0.10585877164823713,0.5083676782815036,226.0
EVN.AX,125.0,0.049002186969078515,0.15783922771049383,228.0
CUV.AX,126.0,0.014902566932149326,0.28238497885066477,231.0
NCM.AX,127.0,0.06236445430364992,0.10569521580631754,231.0
DXS.AX,128.0,0.12712372272934047,-9.27525387493319,232.0
CWY.AX,129.0,0.04693230918634066,0.14250745811978888,233.0
GOZ.AX,130.0,0.12174826477486168,-4.444880715705765,233.0
BGA.AX,131.0,0.07234643579174936,0.05944560166639962,236.0
JHX.AX,132.0,0.03066338738905896,0.19385064242832295,240.0
WPL.AX,133.0,0.07386907128381306,0.04086286825183213,240.0
BIN.AX,134.0,0.05162137581685817,0.11502681147023602,241.0
GPT.AX,135.0,0.09280542829486868,-1.541359163591636,242.0
SGP.AX,136.0,0.08710071092021751,-0.28855501546619533,243.0
SOL.AX,137.0,0.058694690816199664,0.08514600164339912,243.0
NST.AX,138.0,0.028494605284831588,0.19285148672238134,247.0
TAH.AX,139.0,0.0904686387618005,-2.7297399170750096,248.0
FLT.AX,140.0,-0.22805881169820486,0.3561977944330886,249.0
APA.AX,141.0,0.045736901894753205,0.1048246521948769,252.0
AST.AX,142.0,0.0557800689011052,0.07086206734342512,254.0
SCG.AX,143.0,0.0818646076211813,-0.9705116182140252,254.0
SLR.AX,144.0,0.03517581562849797,0.11969068321487414,255.0
BWP.AX,145.0,0.08935118624971436,-3.6079805597949295,256.0
CGF.AX,146.0,-0.12406420945194024,0.25158543616124884,259.0
VVR.AX,147.0,0.08959013953418267,-6.29886610501775,260.0
APE.AX,148.0,0.06576562456630167,-0.018704042105981658,261.0
IFL.AX,149.0,0.06655394923183161,-0.07970251849550476,263.0
DOW.AX,150.0,-0.23272903260084962,0.25006220452848965,264.0
VOC.AX,151.0,0.04559760766766664,0.06264946512862717,267.0
JHG.AX,152.0,0.03830640671614697,0.06013292541407322,273.0
ABC.AX,153.0,0.042735272301252916,0.057805469020422294,275.0
SCP.AX,154.0,0.07151128483294215,-4.176470588235294,276.0
NAN.AX,155.0,0.007133502197225048,0.12956329241296036,278.0
CNU.AX,156.0,0.031812348794924096,0.06454825493977465,281.0
VCX.AX,157.0,0.05795783542538703,-0.6928305758625112,281.0
S32.AX,158.0,0.036132284734872434,0.017596604474312494,287.0
QAN.AX,159.0,-1.3442220591584222,0.16814056318361648,295.0
CLW.AX,160.0,0.05685601221685275,-5.457299132402867,299.0
ALX.AX,161.0,0.014084480060894258,0.06219066336707592,301.0
BSL.AX,162.0,-0.6846117495132757,0.13016068635350997,301.0
SEK.AX,163.0,0.04774675688952407,-1.9109263657957245,301.0
MTS.AX,164.0,-0.025743016029475534,0.09055483392095008,302.0
COE.AX,165.0,0.020439858441148255,0.012893439514599925,309.0
FBU.AX,166.0,-0.18192802278692288,0.10239774330042313,310.0
XRO.AX,167.0,0.003366262199616317,0.057812880978141336,310.0
NXT.AX,168.0,0.010931657143040133,0.022584543108326964,312.0
CQR.AX,169.0,0.04121089058425076,-10.681818181818182,318.0
ILU.AX,170.0,0.005187094650783447,0.00984321169936019,320.0
URW.AX,171.0,0.024646210230703167,-1.1488845780795345,321.0
GOR.AX,172.0,-0.0026124965226604468,-0.0065432614652727,323.0
NUF.AX,173.0,-0.011882565734577258,0.01023886035543243,324.0
REA.AX,174.0,0.030562641553858117,-3.253068589069781,324.0
TCL.AX,175.0,0.020630739165077648,-0.7341597796143251,324.0
GNC.AX,176.0,-0.10222606344628532,0.03425890826383624,327.0
APT.AX,177.0,-0.0032881403987132644,-0.07230010205207414,329.0
CGC.AX,178.0,-0.018398454245855386,-0.02823152995214184,329.0
SGM.AX,179.0,-0.08279076024267627,0.011911884688604841,330.0
PNV.AX,180.0,-0.002824271500506525,-0.1892304748384522,331.0
RSG.AX,181.0,-0.06919409430138906,-0.030256942718006465,335.0
NEA.AX,182.0,-0.037825103010372396,-0.5482404882482794,339.0
PLS.AX,183.0,-0.11124105036641466,-0.12406003178245971,343.0
MQG.AX,184.0,-0.08821878140536348,-0.5740158149817193,345.0
AVH.AX,185.0,-0.04288267301180956,-1.1715316546952632,347.0
NWS.AX,186.0,-0.3035545026686611,-0.3443627450980392,352.0
AMP.AX,187.0,-0.06481052668880014,-3.139941690962099,353.0
EHE.AX,188.0,-0.1823137779378474,-1.8546105134301656,359.0
MYX.AX,189.0,-1.12665886269187,-0.7429643753863376,360.0
